Date,Avg_Negativity
2014-08-26,0.482
2014-12-13,0.22499999999999998
2015-06-08,0.833
2015-09-26,0.0
2015-10-03,0.186
2015-11-03,0.476
2015-11-06,0.341
2016-01-14,0.177
2016-04-27,0.543
2016-05-15,0.341
2016-06-30,0.416
2016-11-14,0.197
2016-12-24,0.0
2017-04-08,0.0
2017-04-14,0.163
2017-06-06,0.09600000000000002
2017-06-07,0.141
2017-06-14,0.0
2017-06-22,0.22
2017-07-25,0.576
2017-08-29,0.268
2017-09-10,0.48500000000000004
2017-10-06,0.618
2017-11-01,0.285
2017-11-22,0.285
2017-12-04,0.239
2017-12-18,0.297
2017-12-20,0.0
2018-01-08,0.108
2018-01-11,0.549
2018-03-11,0.4650000000000001
2018-03-19,0.257
2018-03-20,0.518
2018-03-21,0.127
2018-05-09,0.186
2018-06-06,0.536
2018-06-07,0.382
2018-06-08,0.31
2018-06-14,0.28525
2018-06-25,0.231
2018-07-21,0.67
2018-07-22,0.432
2018-08-20,0.373
2018-08-24,0.372
2018-09-03,0.292
2018-09-10,0.29829999999999995
2018-09-14,0.177
2018-09-16,0.331
2018-10-09,0.517
2018-11-12,0.43
2018-11-19,0.227
2018-12-17,0.0245
2018-12-27,0.48
2018-12-28,0.173
2019-01-16,0.143
2019-01-18,0.39
2019-01-31,0.353
2019-02-01,0.417
2019-02-19,0.476
2019-03-15,0.17
2019-03-23,0.526
2019-03-24,0.274
2019-03-29,0.0
2019-04-02,0.123
2019-04-09,0.437
2019-05-06,0.411
2019-05-11,0.45
2019-05-21,0.329
2019-06-26,0.55
2019-07-02,0.336
2019-07-16,0.46900000000000003
2019-08-29,0.483
2019-09-08,0.0
2019-09-10,0.316
2019-09-14,0.247
2019-10-11,0.258
2019-10-13,0.062
2019-10-23,0.433
2019-11-07,0.522
2019-11-12,0.56
2019-11-19,0.273
2019-11-26,0.342
2019-11-28,0.0
2019-12-21,0.14975
2019-12-27,0.238
2020-01-08,0.271
2020-01-09,0.4061176470588235
2020-01-15,0.19600000000000004
2020-01-16,0.361
2020-02-18,0.306
2020-02-22,0.518
2020-03-01,0.303
2020-03-02,0.374
2020-03-07,0.655
2020-03-20,0.332
2020-03-29,0.281
