tweet,user,date_time,replies,retweets,views,country,sentiment
leaving hoping reach someone needs read suicide answer anamtanoli mentalhealth,@ArmedWithWords,"Sep 3, 2018",16,84,,IN,high
experience suicidal thoughts first teen even mp taught live blues sharing effective coping tools,@milinddeora,"Jun 14, 2020",343,2.3K,,IN,low
theme worldsuicidepreventionday creating hope action india highest suicide rate southeast asia according causing deaths malaria breast cancer war terrorism cannot afford neglect citizens mentalhealth,@ShashiTharoor,"Sep 10, 2021",19,67,,IN,low
maybe kiiiing worth mother scolding anything losing friends almost reason mental state obsessed someone matter much try stop haha g dharma eh irbwjebdkabj,@cryof_anth0ny,Apr 2,,,21,IN,high
suicide accounts gun deaths annually u three states passed legislation allowing people fear may become suicidal place sell list block purchase gun,@CBSSunday,"Mar 5, 2023",23,96,24K,US,moderate
suicide rates increased almost every state time prevent suicidal thoughts attempts start get resources educate community risks prevention saving lives,@CDCgov,"Jun 14, 2018",19,314,,US,low
american mates followers might finance know difficult rn remember always u suicide hotline dial text visit online chat free confidential service available anyone,@TheOnlyDwarf,9h,,,18,US,moderate
people today us alone try end lives pass possibly save life,@AnEndToSuicide,"Jun 7, 2017",,232,,US,moderate
new cdc report adults ages say considered suicide past month pandemic myth ask suicidal give idea afraid ask depressed friend loved one may save life,@Doc_elitemind,"Aug 21, 2020",3,82,,US,low
tw suicidal way back april st exactly year ngayon committed suicide present diagnose general anxiety disorder years ko dala dala yung bigat ng nararamdaman ko reason behind suicidal family,@privyuann_,Apr 1,21,,15K,ID,moderate
midst many suicides taken place year feel terrified sometimes feel trapped dark feels like way live end,@rupikaur_,"Jun 8, 2018",29,949,,PK,low
feel like shit im fucking worthless kill already,@PajuJane,Mar 30,2,,42,PK,high
extremely suicidal rn honestly wish guts something ill get shotgun one day knows,@khi_wick,Apr 4,,,7,PK,high
rate suicide iko huku nje alarming priorities mental health anything else,@x_weep,"Nov 9, 2024",7,90,3.1K,NG,high
sometimes feel like killing actually logical conclusiin life think time think panic think im calm think would best,@tunacycIe,Apr 4,1,,106,NG,moderate
august found dark place considered taking life days earlier l signed rang texted people farewell wanted die exit world good,@bonifacemwangi,"Sep 16, 2024",1.3K,4.7K,585K,NG,high
suicide someone get peace sadness mental stress thinks suicide committing suicide great sin devotion god destroys sins due sorrows go away also get relief,@bhaktajitdass,"Aug 18, 2024",4,338,1.7K,BD,low
everytime something upsetting happens first thought isnt cry sh going kill night never go obviously believe depressed upset suicide thought,@n0v4sw0r1d,Apr 4,,,43,BD,moderate
would rather kill live united states year understand ssris,@novikovasovi,Mar 31,,,738,RU,high
boyfriend made go crisis home alone rn want find body gets back genuinely feeling suicidal considering going outside woods take stash pills lose blood,@pxnselenos,Feb 26,4,3,11K,MX,low
help see suicide attempt immediate resolution issues need get away,@R4INC4NDYU,Jan 4,11,873,43K,ET,low
tw suicide anxiety suicide rates crisis calls increased drastically post election tensions high right totally understandable feel anxious hopeless alone always people want help please take care,@BUCKLEYDl4Z,"Nov 4, 2020",14,6.9K,,ET,low
although us cope joking mental health jokes aside free telephone counseling hotlines philippines every small inconvenience artph,@lorem1psum__,"Apr 24, 2024",,1.7K,139K,PH,moderate
depression real depression consume offer help someone suffers depression philippines suicide hotline number rt potentially save life,@neiljedcastro,"Jun 6, 2018",4,1.1K,,PH,moderate
reminder philippines already ra known mental health law everyone read know reminder suicide never joke mental health taken seriously use platforms wisely suicideisnotajoke,@giasison,"Jan 8, 2020",28,4.8K,,PH,low
minor tone change alone thoughts going make kill,@R4INC4NDYU,"Nov 26, 2024",1,746,31K,EG,low
kill fucking suicidal depressed everything going painful want happy want whole plan suicide inact moment give warning comes,@ax0lover,Apr 3,1,,101,VN,high
oh god hate much ohnmy god fuck need die horrible person please need die oh mygod cant,@suicideislegal_,4h,,,34,CD,high
suicide constantly mind cant get want live dont want feel helpless like,@shishishuu,Mar 31,,,188,CD,low
feel fucking sick paranoid want kill cant deal like,@R4INC4NDYU,"Oct 30, 2024",9,408,30K,TR,high
scared image scared immaturity scared ceiling scared ill die uncertainty fear might death fear leads anxiety,@an4kkkkk,Apr 4,,,64,TR,low
want overdose months pills could take would guarantee end want end please hate idk im really considering genuinely first time long genuinely suicidal danger rn idec,@skin_and_bones6,10h,,,16,IR,moderate
shoudlve killed idc idc idc im bad episode rn want die need die stab cant wont stop touched item memories cant touched cant stop sobbing,@intrnetarchived,Apr 4,1,,280,IR,high
might kill atp dont options literally either kill everything solved forever go therapy maybe even mh fail school never get good job keep fucking mh go school eventually kms,@meowsstarz,Apr 3,3,,124,DE,high
hate feeling terrible able tell anyone literally want kms say get threatened psych ward tired treated like im sick fuck,@deer_guts_,Mar 31,,,78,DE,high
suicide single biggest killer men age uk scotland highest suicide rate whole great britain rates continue rise less less help reaching get ignored system fucked,@rachel3mann,"May 11, 2019",,72,,GB,moderate
england suicide used illegal punishment trying kill death likeforfollow,@geekyaman,"Jun 8, 2015",,,,GB,low
yanno scary hearing today northern ireland sucide rate highest uk n receive less funding mental health services anywhere uk n still nothing done,@Martin4Jessica,"Mar 21, 2018",3,260,,GB,low
suicide hotline numbers uk usa canada ireland australia anyone dms always open alone know might feel promise,@okheavenly,"Nov 22, 2017",8,76,,GB,low
absolutely hate fucking job need kill right overwhelming cannot peel eyes high ledges,@RomaGxng,Apr 4,2,,173,IT,low
think rn two options kill move another country,@ItsTred_,Apr 4,,,25,IT,high
tw mentions suicidal ideation reading made stomach drop wish could take away,@zeglian,"Oct 2, 2024",9,477,207K,TZ,moderate
zimbabweans need mass counselling zimbabweans ok need week whereby everyone gets free counselling take look around see majority zimbabweans depressed many anxiety suicide rate high many drugs even home made drugs,@AnitaJaxson,"Oct 31, 2021",81,217,,ZA,low
